i,vx,vy,vz,caught,min_dist_cm,t_first_intercept_ms,wall_time_s
1,+0.00,-2.00,+0.80,1,7.02,96,0.2
2,+0.00,-2.00,+1.50,0,10.24,96,0.2
3,+0.00,-2.00,+2.00,0,23.58,,0.2
4,+0.00,-2.50,+0.80,0,26.98,96,0.2
5,+0.00,-2.50,+1.50,0,12.23,112,0.2
6,+0.00,-2.50,+2.00,1,7.22,112,0.3
7,+0.00,-3.00,+0.80,1,6.75,96,0.2
8,+0.00,-3.00,+1.50,1,5.32,96,0.2
9,+0.00,-3.00,+2.00,0,11.75,112,0.2
