i,sigma_mm,vx,vy,vz,caught,min_dist_cm
1,0.0,+0.01,-2.51,+1.53,1,7.74
2,0.0,+0.01,-2.53,+1.52,1,9.10
3,0.0,+0.07,-2.45,+1.46,0,33.85
4,0.0,-0.06,-2.53,+1.50,1,5.73
5,0.0,-0.12,-2.51,+1.44,1,5.37
6,0.0,-0.04,-2.53,+1.48,1,5.62
7,0.0,+0.02,-2.45,+1.49,0,19.33
8,0.0,+0.07,-2.53,+1.52,1,6.55
9,0.0,+0.05,-2.50,+1.46,0,23.75
10,0.0,-0.05,-2.52,+1.51,1,5.39
11,0.0,-0.05,-2.51,+1.49,1,5.53
12,0.0,+0.03,-2.49,+1.52,1,6.91
13,5.0,-0.03,-2.51,+1.54,1,6.61
14,5.0,+0.07,-2.56,+1.58,1,5.46
15,5.0,+0.07,-2.46,+1.51,1,6.12
16,5.0,-0.02,-2.43,+1.60,1,5.91
17,5.0,+0.09,-2.43,+1.52,1,6.32
18,5.0,-0.06,-2.50,+1.53,1,5.31
19,5.0,-0.06,-2.48,+1.52,1,5.65
20,5.0,+0.03,-2.56,+1.47,1,6.12
21,5.0,-0.02,-2.56,+1.59,0,11.44
22,5.0,-0.02,-2.48,+1.49,1,7.48
23,5.0,+0.08,-2.43,+1.53,1,6.14
24,5.0,-0.11,-2.50,+1.53,1,5.93
25,10.0,+0.05,-2.53,+1.59,1,6.47
26,10.0,-0.07,-2.53,+1.55,0,15.38
27,10.0,+0.00,-2.40,+1.51,0,11.84
28,10.0,-0.03,-2.52,+1.45,1,6.32
29,10.0,-0.06,-2.47,+1.53,1,7.56
30,10.0,+0.06,-2.54,+1.58,1,6.20
31,10.0,-0.01,-2.42,+1.48,1,8.90
32,10.0,-0.04,-2.49,+1.55,1,7.34
33,10.0,+0.01,-2.53,+1.43,1,5.87
34,10.0,-0.07,-2.47,+1.55,1,6.23
35,10.0,-0.01,-2.55,+1.54,1,6.61
36,10.0,-0.06,-2.54,+1.53,1,6.44
37,20.0,-0.11,-2.48,+1.47,0,11.99
38,20.0,+0.01,-2.50,+1.51,1,8.51
39,20.0,+0.03,-2.54,+1.57,1,6.88
40,20.0,+0.04,-2.46,+1.56,0,10.79
41,20.0,+0.04,-2.46,+1.50,0,11.15
42,20.0,-0.07,-2.51,+1.46,1,9.23
43,20.0,-0.07,-2.49,+1.47,0,10.96
44,20.0,-0.05,-2.55,+1.51,1,8.26
45,20.0,+0.02,-2.43,+1.50,1,8.97
46,20.0,+0.05,-2.43,+1.56,0,10.33
47,20.0,-0.12,-2.44,+1.52,1,7.52
48,20.0,+0.02,-2.48,+1.52,1,8.90
49,40.0,+0.02,-2.52,+1.40,0,17.66
50,40.0,-0.01,-2.54,+1.55,0,10.52
51,40.0,-0.01,-2.50,+1.46,0,13.58
52,40.0,-0.03,-2.50,+1.43,0,14.15
53,40.0,+0.02,-2.51,+1.44,0,13.68
54,40.0,-0.12,-2.47,+1.49,0,13.92
55,40.0,-0.03,-2.51,+1.59,0,15.89
56,40.0,-0.00,-2.50,+1.43,0,12.41
57,40.0,+0.08,-2.45,+1.55,0,13.54
58,40.0,+0.00,-2.45,+1.52,0,14.07
59,40.0,+0.03,-2.51,+1.43,0,15.41
60,40.0,+0.05,-2.60,+1.49,0,10.09
61,80.0,-0.01,-2.55,+1.53,0,23.27
62,80.0,-0.01,-2.52,+1.53,0,28.82
63,80.0,-0.02,-2.43,+1.52,0,30.67
64,80.0,-0.02,-2.60,+1.43,0,21.66
65,80.0,+0.05,-2.50,+1.49,0,21.77
66,80.0,+0.08,-2.56,+1.47,0,23.83
67,80.0,-0.02,-2.47,+1.47,0,27.85
68,80.0,-0.03,-2.58,+1.54,0,27.72
69,80.0,+0.04,-2.52,+1.51,0,31.70
70,80.0,-0.06,-2.52,+1.57,0,27.83
71,80.0,+0.01,-2.38,+1.46,0,27.41
72,80.0,+0.03,-2.51,+1.53,0,25.39
